symbol	Geneid	cardiomyocytes_probability	cardiomyocytes_distance	cardiomyocytes_p_value	cardiomyocytes_FDR	cardiomyocytes_rank	endothelial cells_probability	endothelial cells_distance	endothelial cells_p_value	endothelial cells_FDR	endothelial cells_rank	fibroblasts_probability	fibroblasts_distance	fibroblasts_p_value	fibroblasts_FDR	fibroblasts_rank	cardiomyocytes_exp	endothelial cells_exp	fibroblasts_exp
KLHL2	ENSG00000109466	0.589	0.36	0.739	1.0	6024	0.71	0.893	0.542	1.0	4793	0.343	-0.648	0.95	1.0	8516	-1.243	0.155	-2.3
DHX8	ENSG00000067596	0.589	0.36	0.739	1.0	6025	0.566	0.265	0.769	1.0	6318	0.656	0.648	0.638	1.0	5282	2.756	2.519	3.209
TARDBP	ENSG00000120948	0.589	0.36	0.739	1.0	6026	0.629	0.528	0.681	1.0	5647	0.684	0.773	0.59	1.0	4985	7.026	6.868	6.883
QRFPR	ENSG00000186867	0.589	0.36	0.739	1.0	6027	0.756	1.13	0.448	1.0	4304	0.154	-1.703	0.997	1.0	11279	-0.165	1.587	-3.281
FRMPD2	ENSG00000170324	0.589	0.359	0.739	1.0	6028	0.113	-2.057	0.999	1.0	12132	0.42	-0.324	0.907	1.0	7714	-1.361	-5.708	-1.825
PHF20	ENSG00000025293	0.589	0.359	0.739	1.0	6029	0.492	-0.031	0.849	1.0	7036	0.57	0.282	0.764	1.0	6154	2.271	1.507	2.178
YJEFN3	ENSG00000250067	0.589	0.358	0.739	1.0	6030	0.39	-0.448	0.926	1.0	8153	0.015	-4.162	1.0	1.0	14882	0.833	-0.596	-6.795
PHYKPL	ENSG00000175309	0.589	0.358	0.74	1.0	6031	0.591	0.368	0.736	1.0	6053	0.529	0.117	0.811	1.0	6550	2.469	2.467	2.048
GPR174	ENSG00000147138	0.588	0.357	0.74	1.0	6032	0.188	-1.466	0.993	1.0	10800	0.073	-2.547	1.0	1.0	13061	-2.683	-5.74	-6.795
SIGLEC12	ENSG00000254521	0.588	0.356	0.74	1.0	6033	0.681	0.76	0.595	1.0	5083	0.163	-1.636	0.996	1.0	11103	-4.664	-3.169	-6.795
TPGS2	ENSG00000134779	0.588	0.356	0.74	1.0	6034	0.583	0.335	0.747	1.0	6134	0.652	0.629	0.645	1.0	5341	3.049	2.927	3.421
MMP19	ENSG00000123342	0.588	0.356	0.74	1.0	6035	0.529	0.117	0.811	1.0	6670	0.937	2.702	0.044	0.353	1967	-1.984	-2.018	2.998
DUSP28	ENSG00000188542	0.588	0.355	0.74	1.0	6036	0.356	-0.592	0.944	1.0	8532	0.601	0.409	0.723	1.0	5853	5.243	3.088	4.809
ANXA5	ENSG00000164111	0.588	0.355	0.741	1.0	6037	0.813	1.47	0.319	1.0	3606	0.877	1.963	0.168	0.923	2853	5.164	7.046	7.477
COX7B	ENSG00000131174	0.588	0.355	0.741	1.0	6038	0.395	-0.425	0.923	1.0	8102	0.62	0.488	0.696	1.0	5662	11.092	8.667	9.677
DAXX	ENSG00000204209	0.588	0.354	0.741	1.0	6039	0.742	1.058	0.477	1.0	4458	0.824	1.542	0.294	1.0	3520	4.475	5.623	6.181
TTBK1	ENSG00000146216	0.588	0.354	0.741	1.0	6040	0.251	-1.094	0.982	1.0	9877	0.492	-0.033	0.849	1.0	6959	-8.159	-9.921	-6.795
EVI2A	ENSG00000126860	0.588	0.354	0.741	1.0	6041	0.373	-0.518	0.936	1.0	8335	0.394	-0.431	0.924	1.0	7984	0.474	-1.047	-0.518
EIF3E	ENSG00000104408	0.587	0.353	0.741	1.0	6042	0.52	0.079	0.821	1.0	6755	0.54	0.16	0.799	1.0	6454	4.601	3.827	3.855
ITGBL1	ENSG00000198542	0.587	0.353	0.741	1.0	6043	0.219	-1.274	0.989	1.0	10350	0.684	0.77	0.591	1.0	4996	-4.927	-7.37	-2.771
DDX41	ENSG00000183258	0.587	0.352	0.741	1.0	6044	0.763	1.168	0.433	1.0	4229	0.727	0.979	0.508	1.0	4552	3.704	5.148	4.572
VAT1	ENSG00000108828	0.587	0.352	0.741	1.0	6045	0.77	1.21	0.417	1.0	4138	0.782	1.275	0.392	1.0	3962	4.66	6.091	5.865
ME2	ENSG00000082212	0.587	0.352	0.742	1.0	6046	0.248	-1.112	0.983	1.0	9929	0.374	-0.515	0.935	1.0	8210	4.209	1.151	2.356
EFHD2	ENSG00000142634	0.587	0.352	0.742	1.0	6047	0.681	0.757	0.596	1.0	5089	0.141	-1.805	0.997	1.0	11492	1.872	2.703	-1.8
SASS6	ENSG00000156876	0.587	0.351	0.742	1.0	6048	0.605	0.428	0.716	1.0	5900	0.759	1.147	0.441	1.0	4214	0.606	0.925	2.365
PCSK4	ENSG00000115257	0.587	0.351	0.742	1.0	6049	0.051	-2.923	1.0	1.0	13687	0.135	-1.86	0.998	1.0	11623	-4.186	-9.921	-6.795
CADPS2	ENSG00000081803	0.587	0.35	0.742	1.0	6050	0.754	1.119	0.453	1.0	4333	0.241	-1.148	0.984	1.0	9837	-2.55	-0.558	-4.218
SF3B5	ENSG00000169976	0.586	0.349	0.742	1.0	6051	0.743	1.062	0.475	1.0	4449	0.838	1.644	0.26	1.0	3365	9.852	10.469	10.715
CD8B	ENSG00000172116	0.586	0.349	0.743	1.0	6052	0.014	-4.252	1.0	1.0	14984	0.04	-3.19	1.0	1.0	14047	-1.301	-9.921	-6.795
EMC6	ENSG00000127774	0.586	0.349	0.743	1.0	6053	0.444	-0.226	0.89	1.0	7545	0.38	-0.491	0.932	1.0	8143	3.74	2.466	2.023
PATL2	ENSG00000229474	0.586	0.348	0.743	1.0	6054	0.258	-1.057	0.98	1.0	9793	0.176	-1.541	0.994	1.0	10863	2.257	-0.485	-1.018
GNB4	ENSG00000114450	0.586	0.348	0.743	1.0	6055	0.752	1.109	0.457	1.0	4359	0.781	1.27	0.393	1.0	3976	1.04	2.651	2.94
OR2AG2	ENSG00000188124	0.586	0.348	0.743	1.0	6056	0.503	0.011	0.839	1.0	6923	0.097	-2.226	0.999	1.0	12414	-3.399	-3.478	-6.795
ARHGAP4	ENSG00000089820	0.586	0.347	0.743	1.0	6057	0.797	1.366	0.357	1.0	3824	0.328	-0.716	0.957	1.0	8703	-0.377	1.882	-1.694
FBXL19	ENSG00000099364	0.586	0.346	0.743	1.0	6058	0.532	0.127	0.809	1.0	6651	0.341	-0.659	0.951	1.0	8548	-2.428	-2.377	-3.252
FUCA2	ENSG00000001036	0.586	0.346	0.743	1.0	6059	0.687	0.787	0.584	1.0	5031	0.709	0.893	0.543	1.0	4737	4.228	4.888	4.857
BRD1	ENSG00000100425	0.585	0.345	0.744	1.0	6060	0.689	0.794	0.582	1.0	5009	0.64	0.575	0.665	1.0	5459	0.784	1.81	1.515
LPCAT4	ENSG00000176454	0.585	0.345	0.744	1.0	6061	0.713	0.909	0.536	1.0	4771	0.464	-0.146	0.874	1.0	7240	4.006	4.929	2.851
HMGCR	ENSG00000113161	0.585	0.344	0.744	1.0	6062	0.648	0.609	0.652	1.0	5460	0.654	0.638	0.641	1.0	5317	1.949	2.5	2.57
TUBG2	ENSG00000037042	0.585	0.342	0.745	1.0	6063	0.61	0.446	0.71	1.0	5859	0.643	0.588	0.66	1.0	5432	3.879	3.916	4.045
PON1	ENSG00000005421	0.585	0.342	0.745	1.0	6064	0.537	0.149	0.803	1.0	6591	0.116	-2.033	0.999	1.0	12000	-3.834	-3.588	-6.795
ZBTB44	ENSG00000196323	0.585	0.342	0.745	1.0	6065	0.423	-0.311	0.905	1.0	7765	0.456	-0.176	0.88	1.0	7315	2.972	1.625	1.969
BUB3	ENSG00000154473	0.584	0.341	0.745	1.0	6066	0.691	0.807	0.577	1.0	4983	0.702	0.857	0.557	1.0	4815	4.671	5.333	5.158
NECAP2	ENSG00000157191	0.584	0.341	0.745	1.0	6067	0.892	2.11	0.133	0.8	2615	0.845	1.694	0.244	1.0	3282	1.945	5.431	4.427
SMIM29	ENSG00000186577	0.584	0.341	0.745	1.0	6068	0.702	0.858	0.556	1.0	4871	0.628	0.523	0.683	1.0	5572	5.518	6.195	5.256
TMEM200B	ENSG00000253304	0.584	0.34	0.746	1.0	6069	0.26	-1.044	0.98	1.0	9748	0.396	-0.421	0.922	1.0	7957	0.144	-2.341	-0.743
SMO	ENSG00000128602	0.584	0.338	0.746	1.0	6070	0.179	-1.526	0.994	1.0	10941	0.671	0.714	0.613	1.0	5141	-0.594	-3.943	0.656
AMPD3	ENSG00000133805	0.584	0.338	0.746	1.0	6071	0.227	-1.225	0.987	1.0	10231	0.382	-0.482	0.931	1.0	8106	-1.522	-4.189	-2.193
CXCR6	ENSG00000172215	0.583	0.337	0.746	1.0	6072	0.981	3.938	0.002	0.028	930	0.085	-2.372	1.0	1.0	12705	-3.106	4.472	-6.795
CDA	ENSG00000158825	0.583	0.337	0.746	1.0	6073	0.688	0.79	0.583	1.0	5016	0.863	1.842	0.2	1.0	3046	-1.659	-0.373	1.782
IL17RD	ENSG00000144730	0.583	0.336	0.747	1.0	6074	0.846	1.704	0.241	1.0	3226	0.908	2.284	0.1	0.648	2410	-3.478	-0.221	1.088
BCL3	ENSG00000069399	0.583	0.336	0.747	1.0	6075	0.856	1.783	0.217	1.0	3087	0.572	0.291	0.761	1.0	6121	0.312	3.337	0.651
DYNC1LI1	ENSG00000144635	0.583	0.336	0.747	1.0	6076	0.501	0.003	0.841	1.0	6945	0.506	0.026	0.835	1.0	6795	4.67	3.773	3.705
PFN2	ENSG00000070087	0.583	0.335	0.747	1.0	6077	0.458	-0.169	0.879	1.0	7383	0.398	-0.415	0.921	1.0	7944	3.305	2.215	1.832
LMAN2	ENSG00000169223	0.583	0.334	0.747	1.0	6078	0.751	1.105	0.458	1.0	4366	0.814	1.474	0.318	1.0	3625	4.554	5.824	6.161
PA2G4	ENSG00000170515	0.583	0.334	0.747	1.0	6079	0.561	0.245	0.775	1.0	6358	0.657	0.649	0.637	1.0	5278	5.97	5.418	5.857
JMJD1C	ENSG00000171988	0.582	0.333	0.748	1.0	6080	0.626	0.515	0.686	1.0	5688	0.616	0.474	0.701	1.0	5695	1.96	2.345	2.305
ZDHHC18	ENSG00000204160	0.582	0.333	0.748	1.0	6081	0.594	0.381	0.732	1.0	6009	0.157	-1.683	0.996	1.0	11221	0.394	0.677	-2.746
HEG1	ENSG00000173706	0.582	0.333	0.748	1.0	6082	0.649	0.614	0.65	1.0	5447	0.473	-0.107	0.866	1.0	7135	3.707	4.11	2.698
KAT2A	ENSG00000108773	0.582	0.332	0.748	1.0	6083	0.791	1.332	0.37	1.0	3899	0.623	0.503	0.69	1.0	5623	1.841	3.836	2.265
CDS1	ENSG00000163624	0.582	0.332	0.748	1.0	6084	0.016	-4.107	1.0	1.0	14904	0.466	-0.134	0.872	1.0	7208	-1.654	-9.921	-1.679
ATP2C1	ENSG00000017260	0.582	0.332	0.748	1.0	6085	0.567	0.268	0.768	1.0	6311	0.403	-0.395	0.918	1.0	7889	2.066	1.961	0.87
RSPRY1	ENSG00000159579	0.582	0.33	0.749	1.0	6086	0.515	0.059	0.827	1.0	6812	0.591	0.37	0.736	1.0	5952	1.898	1.407	2.083
ANKRD12	ENSG00000101745	0.582	0.329	0.749	1.0	6087	0.692	0.808	0.576	1.0	4978	0.651	0.622	0.647	1.0	5359	3.752	4.536	4.023
MIS12	ENSG00000167842	0.581	0.328	0.749	1.0	6088	0.618	0.481	0.698	1.0	5770	0.626	0.513	0.687	1.0	5593	4.526	4.592	4.46
PTPRK	ENSG00000152894	0.581	0.328	0.749	1.0	6089	0.466	-0.136	0.872	1.0	7297	0.24	-1.154	0.984	1.0	9857	-0.753	-1.352	-2.737
AP5M1	ENSG00000053770	0.581	0.328	0.749	1.0	6090	0.562	0.251	0.773	1.0	6348	0.641	0.581	0.663	1.0	5448	3.859	3.545	4.042
SMC2	ENSG00000136824	0.581	0.327	0.749	1.0	6091	0.44	-0.24	0.892	1.0	7581	0.495	-0.018	0.846	1.0	6922	3.965	2.684	3.075
COX11	ENSG00000166260	0.581	0.327	0.75	1.0	6092	0.64	0.577	0.664	1.0	5536	0.659	0.66	0.633	1.0	5258	7.048	7.045	6.757
ADH1C	ENSG00000248144	0.581	0.327	0.75	1.0	6093	0.291	-0.891	0.971	1.0	9333	0.945	2.839	0.033	0.283	1822	-1.952	-3.9	3.316
HEMGN	ENSG00000136929	0.581	0.326	0.75	1.0	6094	0.687	0.788	0.584	1.0	5028	0.242	-1.14	0.984	1.0	9806	-5.809	-4.086	-6.795
NCOA3	ENSG00000124151	0.581	0.325	0.75	1.0	6095	0.788	1.315	0.376	1.0	3930	0.661	0.666	0.631	1.0	5241	0.779	2.864	1.708
STARD7	ENSG00000084090	0.58	0.325	0.75	1.0	6096	0.395	-0.428	0.923	1.0	8106	0.377	-0.501	0.933	1.0	8170	6.213	4.339	4.048
COIL	ENSG00000121058	0.58	0.325	0.75	1.0	6097	0.726	0.974	0.51	1.0	4641	0.718	0.933	0.527	1.0	4661	3.137	4.315	4.081
PKP3	ENSG00000184363	0.58	0.324	0.75	1.0	6098	0.117	-2.017	0.999	1.0	12056	0.278	-0.956	0.975	1.0	9317	-6.213	-9.921	-6.795
PRMT2	ENSG00000160310	0.58	0.324	0.75	1.0	6099	0.629	0.53	0.681	1.0	5641	0.678	0.743	0.601	1.0	5062	6.345	6.328	6.341
PRDX2	ENSG00000167815	0.58	0.324	0.75	1.0	6100	0.383	-0.476	0.93	1.0	8226	0.591	0.367	0.737	1.0	5962	6.608	4.6	5.891
GLOD4	ENSG00000167699	0.58	0.324	0.75	1.0	6101	0.623	0.501	0.691	1.0	5728	0.697	0.831	0.567	1.0	4873	4.23	4.373	4.787
NAA15	ENSG00000164134	0.58	0.324	0.751	1.0	6102	0.406	-0.379	0.916	1.0	7952	0.414	-0.348	0.911	1.0	7780	2.667	1.252	1.453
CCDC122	ENSG00000151773	0.58	0.323	0.751	1.0	6103	0.436	-0.259	0.896	1.0	7634	0.337	-0.679	0.953	1.0	8612	2.823	1.627	0.996
NECAP1	ENSG00000089818	0.58	0.323	0.751	1.0	6104	0.705	0.869	0.552	1.0	4847	0.598	0.399	0.726	1.0	5880	2.474	3.517	2.609
UBE2Q2	ENSG00000140367	0.58	0.322	0.751	1.0	6105	0.672	0.718	0.611	1.0	5196	0.648	0.609	0.652	1.0	5381	2.528	3.273	3.025
SDR42E2	ENSG00000183921	0.58	0.322	0.751	1.0	6106	0.757	1.139	0.445	1.0	4291	0.594	0.379	0.733	1.0	5934	-1.751	0.252	-0.838
ACOX2	ENSG00000168306	0.58	0.322	0.751	1.0	6107	0.29	-0.893	0.971	1.0	9337	0.466	-0.137	0.872	1.0	7216	1.848	-0.483	1.164
VCPKMT	ENSG00000100483	0.579	0.321	0.752	1.0	6108	0.621	0.495	0.693	1.0	5741	0.726	0.975	0.51	1.0	4563	2.977	3.244	4.033
SESN3	ENSG00000149212	0.579	0.321	0.752	1.0	6109	0.743	1.062	0.475	1.0	4450	0.808	1.436	0.331	1.0	3688	0.459	2.09	2.809
BOD1L1	ENSG00000038219	0.579	0.32	0.752	1.0	6110	0.639	0.569	0.667	1.0	5551	0.666	0.689	0.622	1.0	5187	4.545	4.797	4.794
KCP	ENSG00000135253	0.579	0.32	0.752	1.0	6111	0.245	-1.127	0.983	1.0	9970	0.337	-0.676	0.953	1.0	8604	-2.744	-5.056	-3.49
MAGOH	ENSG00000162385	0.579	0.319	0.752	1.0	6112	0.674	0.724	0.609	1.0	5181	0.692	0.808	0.576	1.0	4916	6.231	6.617	6.372
CD84	ENSG00000066294	0.579	0.318	0.752	1.0	6113	0.804	1.41	0.341	1.0	3729	0.56	0.24	0.777	1.0	6241	-2.829	-0.179	-1.947
KLHL35	ENSG00000149243	0.579	0.318	0.752	1.0	6114	0.422	-0.314	0.905	1.0	7779	0.446	-0.216	0.888	1.0	7418	0.023	-0.982	-0.446
DOCK6	ENSG00000130158	0.579	0.317	0.753	1.0	6115	0.883	2.024	0.153	0.877	2734	0.638	0.566	0.668	1.0	5476	-1.28	2.415	-0.119
ATXN7L2	ENSG00000162650	0.579	0.317	0.753	1.0	6116	0.004	-5.489	1.0	1.0	15403	0.774	1.229	0.409	1.0	4055	1.32	-9.921	3.146
AIP	ENSG00000110711	0.578	0.317	0.753	1.0	6117	0.676	0.734	0.605	1.0	5151	0.679	0.751	0.598	1.0	5045	4.675	5.243	5.017
F2RL3	ENSG00000127533	0.578	0.316	0.753	1.0	6118	0.926	2.528	0.063	0.475	2085	0.637	0.56	0.67	1.0	5491	-2.309	2.476	-0.96
NLRC3	ENSG00000167984	0.578	0.316	0.753	1.0	6119	0.485	-0.059	0.855	1.0	7095	0.213	-1.304	0.989	1.0	10253	-0.184	-0.667	-2.52
ROM1	ENSG00000149489	0.578	0.315	0.753	1.0	6120	0.818	1.503	0.307	1.0	3542	0.694	0.82	0.571	1.0	4888	3.39	5.592	4.105
PPP1R35	ENSG00000160813	0.578	0.315	0.753	1.0	6121	0.797	1.368	0.356	1.0	3813	0.743	1.061	0.476	1.0	4385	4.711	6.515	5.592
ENHO	ENSG00000168913	0.578	0.315	0.753	1.0	6122	0.239	-1.161	0.985	1.0	10059	0.503	0.011	0.839	1.0	6839	1.135	-1.632	0.858
CTDNEP1	ENSG00000175826	0.578	0.315	0.753	1.0	6123	0.534	0.136	0.806	1.0	6624	0.65	0.621	0.648	1.0	5360	4.113	3.574	4.339
SF1	ENSG00000168066	0.578	0.315	0.753	1.0	6124	0.662	0.671	0.629	1.0	5306	0.696	0.828	0.568	1.0	4879	5.127	5.53	5.522
SNN	ENSG00000184602	0.578	0.314	0.754	1.0	6125	0.478	-0.089	0.862	1.0	7176	0.515	0.059	0.827	1.0	6713	4.081	3.107	3.326
PNKD	ENSG00000127838	0.578	0.313	0.754	1.0	6126	0.531	0.125	0.809	1.0	6653	0.658	0.653	0.636	1.0	5272	6.042	5.286	5.957
TEX12	ENSG00000150783	0.578	0.313	0.754	1.0	6127	0.244	-1.131	0.983	1.0	9986	0.016	-4.089	1.0	1.0	14847	0.576	-2.072	-6.795
MCEMP1	ENSG00000183019	0.578	0.313	0.754	1.0	6128	0.035	-3.317	1.0	1.0	14241	0.095	-2.255	0.999	1.0	12467	-3.412	-9.921	-6.795
MT1A	ENSG00000205362	0.578	0.313	0.754	1.0	6129	0.879	1.983	0.163	0.918	2780	0.749	1.095	0.462	1.0	4313	2.965	6.154	4.247
SLC4A8	ENSG00000050438	0.578	0.313	0.754	1.0	6130	0.728	0.986	0.505	1.0	4609	0.776	1.245	0.403	1.0	4019	-7.211	-4.928	-3.712
BSG	ENSG00000172270	0.578	0.313	0.754	1.0	6131	0.388	-0.457	0.927	1.0	8179	0.575	0.303	0.757	1.0	6096	6.256	4.344	5.515
MRTFB	ENSG00000186260	0.577	0.312	0.754	1.0	6132	0.752	1.109	0.457	1.0	4358	0.45	-0.202	0.885	1.0	7379	0.968	2.658	0.358
NKG7	ENSG00000105374	0.577	0.312	0.754	1.0	6133	0.923	2.488	0.068	0.503	2132	0.025	-3.643	1.0	1.0	14538	-0.396	4.124	-6.795
TGOLN2	ENSG00000152291	0.577	0.312	0.754	1.0	6134	0.77	1.207	0.418	1.0	4148	0.787	1.307	0.379	1.0	3901	6.069	7.429	7.132
STOM	ENSG00000148175	0.577	0.311	0.755	1.0	6135	0.927	2.541	0.062	0.467	2071	0.752	1.111	0.456	1.0	4283	3.008	7.286	4.314
PPIL6	ENSG00000185250	0.577	0.31	0.755	1.0	6136	0.556	0.225	0.781	1.0	6410	0.618	0.481	0.698	1.0	5682	0.307	0.339	1.026
FPR1	ENSG00000171051	0.577	0.31	0.755	1.0	6137	0.714	0.916	0.534	1.0	4754	0.546	0.183	0.793	1.0	6387	-0.698	0.786	-0.311
CD82	ENSG00000085117	0.577	0.31	0.755	1.0	6138	0.818	1.502	0.308	1.0	3543	0.374	-0.516	0.935	1.0	8212	0.309	2.836	-0.725
MPDU1	ENSG00000129255	0.577	0.309	0.755	1.0	6139	0.522	0.089	0.819	1.0	6734	0.432	-0.274	0.899	1.0	7574	3.475	2.919	2.259
NPM2	ENSG00000158806	0.577	0.309	0.755	1.0	6140	0.407	-0.376	0.916	1.0	7943	0.696	0.826	0.569	1.0	4882	0.666	-0.509	1.925
ASS1	ENSG00000130707	0.577	0.309	0.755	1.0	6141	0.832	1.603	0.273	1.0	3378	0.559	0.239	0.777	1.0	6242	-0.891	1.957	-0.366
GAST	ENSG00000184502	0.577	0.309	0.755	1.0	6142	0.01	-4.636	1.0	1.0	15174	0.435	-0.26	0.896	1.0	7529	-0.553	-9.921	-0.969
ZNF274	ENSG00000171606	0.577	0.309	0.755	1.0	6143	0.713	0.91	0.536	1.0	4768	0.709	0.889	0.544	1.0	4747	4.744	5.663	5.329
PLEKHG4	ENSG00000196155	0.577	0.308	0.755	1.0	6144	0.29	-0.894	0.971	1.0	9339	0.695	0.821	0.571	1.0	4887	-0.681	-2.729	0.828
TCL1A	ENSG00000100721	0.577	0.308	0.755	1.0	6145	0.046	-3.028	1.0	1.0	13817	0.123	-1.966	0.998	1.0	11876	-4.051	-9.921	-6.795
OXLD1	ENSG00000204237	0.576	0.308	0.755	1.0	6146	0.634	0.55	0.674	1.0	5598	0.619	0.485	0.697	1.0	5672	6.61	6.637	6.129
KTI12	ENSG00000198841	0.576	0.307	0.756	1.0	6147	0.715	0.922	0.531	1.0	4741	0.621	0.496	0.693	1.0	5639	4.403	5.383	4.366
METTL3	ENSG00000165819	0.576	0.307	0.756	1.0	6148	0.7	0.849	0.56	1.0	4891	0.698	0.838	0.564	1.0	4855	3.527	4.454	4.259
ATP5F1E	ENSG00000124172	0.576	0.306	0.756	1.0	6149	0.576	0.308	0.755	1.0	6203	0.697	0.832	0.567	1.0	4872	10.87	9.995	10.186
NPM1	ENSG00000181163	0.576	0.306	0.756	1.0	6150	0.613	0.459	0.706	1.0	5819	0.697	0.835	0.566	1.0	4866	6.384	6.26	6.564
RGS3	ENSG00000138835	0.576	0.305	0.756	1.0	6151	0.556	0.225	0.781	1.0	6411	0.439	-0.247	0.894	1.0	7496	1.395	1.326	0.635
COLGALT2	ENSG00000198756	0.576	0.305	0.756	1.0	6152	0.714	0.916	0.533	1.0	4753	0.769	1.202	0.42	1.0	4113	-2.581	-0.894	-0.034
CCL22	ENSG00000102962	0.576	0.305	0.756	1.0	6153	0.79	1.325	0.373	1.0	3913	0.206	-1.35	0.991	1.0	10359	-5.398	-2.626	-6.795
DDO	ENSG00000203797	0.576	0.304	0.757	1.0	6154	0.137	-1.838	0.998	1.0	11672	0.266	-1.014	0.978	1.0	9489	2.815	-1.425	0.436
APBA2	ENSG00000034053	0.575	0.304	0.757	1.0	6155	0.54	0.162	0.799	1.0	6555	0.358	-0.584	0.943	1.0	8372	-7.068	-6.394	-6.795
FBXO41	ENSG00000163013	0.575	0.304	0.757	1.0	6156	0.573	0.296	0.759	1.0	6228	0.577	0.311	0.755	1.0	6078	-2.629	-2.144	-1.634
SERP2	ENSG00000151778	0.575	0.303	0.757	1.0	6157	0.237	-1.171	0.985	1.0	10085	0.409	-0.367	0.914	1.0	7822	3.135	0.166	1.832
COL15A1	ENSG00000204291	0.575	0.302	0.757	1.0	6158	0.853	1.756	0.225	1.0	3150	0.937	2.691	0.045	0.36	1979	-2.103	1.183	2.98
GRHPR	ENSG00000137106	0.575	0.302	0.757	1.0	6159	0.452	-0.192	0.883	1.0	7447	0.658	0.652	0.636	1.0	5273	6.432	5.039	6.29
WDR38	ENSG00000136918	0.575	0.302	0.757	1.0	6160	0.025	-3.643	1.0	1.0	14555	0.07	-2.581	1.0	1.0	13122	-2.726	-9.921	-6.795
B3GALNT2	ENSG00000162885	0.575	0.301	0.758	1.0	6161	0.401	-0.401	0.919	1.0	8013	0.481	-0.076	0.859	1.0	7064	2.164	0.803	1.563
GCA	ENSG00000115271	0.575	0.301	0.758	1.0	6162	0.821	1.526	0.299	1.0	3506	0.457	-0.174	0.88	1.0	7310	1.937	4.362	1.21
CEP85	ENSG00000130695	0.574	0.3	0.758	1.0	6163	0.193	-1.428	0.992	1.0	10708	0.325	-0.73	0.958	1.0	8743	3.027	-0.423	1.115
CMBL	ENSG00000164237	0.574	0.3	0.758	1.0	6164	0.219	-1.273	0.988	1.0	10348	0.487	-0.052	0.854	1.0	6996	4.626	1.313	3.598
TMEM100	ENSG00000166292	0.574	0.299	0.758	1.0	6165	0.853	1.76	0.224	1.0	3141	0.742	1.057	0.477	1.0	4388	1.83	4.726	3.289
HHIP	ENSG00000164161	0.574	0.298	0.759	1.0	6166	0.723	0.961	0.516	1.0	4665	0.922	2.471	0.071	0.502	2210	-5.303	-3.237	0.009
HOXA9	ENSG00000078399	0.574	0.298	0.759	1.0	6167	0.999	6.645	0.0	0.0	196	0.952	2.987	0.023	0.217	1692	-14.845	-0.706	-6.795
DCAF11	ENSG00000100897	0.574	0.297	0.759	1.0	6168	0.41	-0.366	0.914	1.0	7912	0.59	0.362	0.738	1.0	5973	4.771	3.22	4.448
DGKB	ENSG00000136267	0.574	0.297	0.759	1.0	6169	0.522	0.088	0.819	1.0	6735	0.728	0.984	0.507	1.0	4543	-7.29	-6.723	-4.208
C12orf56	ENSG00000185306	0.573	0.296	0.759	1.0	6170	0.062	-2.721	1.0	1.0	13383	0.16	-1.659	0.996	1.0	11170	-4.745	-9.921	-6.795
PAICS	ENSG00000128050	0.573	0.296	0.759	1.0	6171	0.618	0.479	0.699	1.0	5776	0.668	0.7	0.618	1.0	5161	3.07	3.345	3.669
COL6A6	ENSG00000206384	0.573	0.296	0.759	1.0	6172	0.536	0.143	0.804	1.0	6609	0.948	2.904	0.028	0.253	1765	-5.373	-4.893	0.717
SERPINA10	ENSG00000140093	0.573	0.296	0.759	1.0	6173	0.909	2.306	0.096	0.633	2376	0.309	-0.804	0.964	1.0	8944	-6.604	-1.775	-6.795
MEGF11	ENSG00000157890	0.573	0.295	0.759	1.0	6174	0.739	1.042	0.483	1.0	4494	0.791	1.33	0.371	1.0	3857	-8.353	-5.811	-4.453
GPRIN3	ENSG00000185477	0.573	0.295	0.759	1.0	6175	0.42	-0.323	0.907	1.0	7817	0.238	-1.165	0.985	1.0	9894	1.732	0.579	-0.692
VPS13C	ENSG00000129003	0.573	0.295	0.759	1.0	6176	0.665	0.686	0.623	1.0	5273	0.619	0.485	0.697	1.0	5674	2.221	2.985	2.599
MLH1	ENSG00000076242	0.573	0.295	0.76	1.0	6177	0.363	-0.563	0.941	1.0	8457	0.471	-0.114	0.867	1.0	7154	3.514	1.709	2.596
PDZD8	ENSG00000165650	0.573	0.295	0.76	1.0	6178	0.412	-0.355	0.912	1.0	7887	0.544	0.175	0.795	1.0	6405	1.531	0.336	1.503
C12orf29	ENSG00000133641	0.573	0.293	0.76	1.0	6179	0.717	0.932	0.527	1.0	4713	0.748	1.089	0.464	1.0	4321	4.281	5.32	5.335
CYP20A1	ENSG00000119004	0.573	0.292	0.76	1.0	6180	0.692	0.808	0.576	1.0	4976	0.73	0.994	0.502	1.0	4518	2.467	3.453	3.706
STAP2	ENSG00000178078	0.573	0.292	0.76	1.0	6181	0.429	-0.286	0.901	1.0	7708	0.378	-0.497	0.933	1.0	8162	2.498	1.343	1.108
SOSTDC1	ENSG00000171243	0.572	0.292	0.761	1.0	6182	0.037	-3.246	1.0	1.0	14149	0.408	-0.373	0.915	1.0	7836	0.12	-6.569	-0.595
ST8SIA1	ENSG00000111728	0.572	0.292	0.761	1.0	6183	0.239	-1.157	0.985	1.0	10045	0.594	0.38	0.732	1.0	5932	-1.749	-4.168	-0.782
ZNF331	ENSG00000130844	0.572	0.291	0.761	1.0	6184	0.506	0.024	0.835	1.0	6894	0.536	0.143	0.804	1.0	6492	2.339	1.81	2.11
